model,scen,r10,peakyearbin,pkyearbin,netzeroyearbin,nzyearbin,category,ppp_pf,rcb2100_gtco2_cmltv,gtco2_cdr_cmltv
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,MER_1/x,306.0917444415322,67.28791105
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,PPP_1/asinh(x),120.39150411136293,67.28791105
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,PPP_1/sqrt(x),206.71467918763042,67.28791105
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,3_PP1990adjATP,PPP_1/x,344.6454599837276,67.28791105
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,MER_1/asinh(x),178.65397104213082,67.28791105
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,MER_1/sqrt(x),255.07589403030093,67.28791105
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,MER_1/x,361.08277074615467,67.28791105
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,PPP_1/asinh(x),175.38253041598526,67.28791105
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,PPP_1/sqrt(x),261.7057054922527,67.28791105
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,4_PP1850adjATP,PPP_1/x,399.63648628835006,67.28791105
REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,1_PP1990,NA,119.6259083061002,1.81879834
REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,R10AFRMEA,peak: 2020,2020,net-zero: 2050,2050,2_PP1850,NA,269.80320324249266,1.81879834
