r10,iso3c,country.name,pop_20202050,pop_19902019,pop_19902050,pop_18502050,pop_18501989,gtco2_18501989,co2_19902019_gt,gdp2017ppp_19902019_pc,gdp2017mer_19902019_pc
LAM,URY,Uruguay,106041532.97509746,99481616,205523148.9750974,416946690.97509724,211423542,0.186834274,0.17847790000000002,14746.84618958894,9686.017809932026
LAM,VCT,St. Vincent and the Grenadines,3357494.6022590576,3253514,6611008.602259057,14870699.602259059,8259691,0.001157824,0.005591264,9046.536364940723,5184.92710036939
LAM,VEN,Venezuela (Bolivarian Republic of),1168696873.8063173,771896807,1940593680.8063173,2697320084.8063173,756726404,3.107706356,4.324674584,10194.187613283319,8802.02405611001
MEA,ARE,United Arab Emirates,439086998.34815454,165013999,604100997.3481544,632729003.3481544,28628006,0.773395789,3.998619267000001,87366.63798142363,38078.46091368201
MEA,BHR,Bahrain,79033814.30517904,28463572,107497386.30517906,126958141.30517907,19460755,0.22579333699999998,0.672233511,39659.26465451832,18921.07814083141
MEA,IRN,"Iran, Islamic Rep.",2770242974.7556324,2083246432,4853489406.755631,7183607170.7556305,2330117764,4.3479894230000005,13.447038263,12026.250249147193,3868.172632943961
MEA,IRQ,Iraq,1693665282.149393,811136034,2504801316.1493926,3203239410.149393,698438094,1.1564308330000002,3.147959107,9354.51558051328,3572.923694038753
MEA,ISR,Israel,369201730.1794859,196000576,565202306.179486,726783754.179486,161581448,0.5927354860000003,1.7260800790000004,33165.02542287172,29772.58306103928
MEA,JOR,Jordan,337700790.5591394,191321623,529022413.5591394,622597790.5591393,93575377,0.119613027,0.555676092,7893.760407491291,2983.2340232428955
MEA,KWT,Kuwait,149146766.2379881,78388293,227535059.23798814,276256676.2379882,48721617,0.7446553069999999,2.1238266949999995,63630.68681537688,30757.322935229357
MEA,LBN,Lebanon,155783814.00687382,140114702,295898516.00687385,460575324.0068739,164676808,0.17787933400000003,0.5279862900000001,11579.281196199436,5801.378529349496
MEA,OMN,Oman,135743727.10542846,87012571,222756298.10542843,295807311.10542846,73051013,0.130747191,1.135124862,31935.503005149105,14795.258376642936
MEA,PSE,State of Palestine,170726093.402129,106465093,277191186.40212893,365164055.40212905,87972869,0,0.056828602000000006,4546.643520006248,2109.9385128983076
MEA,QAT,Qatar,101132569.80087174,39085141,140217710.80087176,148761573.80087173,8543863,0.281790806,1.7171823929999996,114883.77603552556,59220.68216823396
MEA,SAU,Saudi Arabia,1396929600.7980902,729649789,2126579389.7980902,2666058479.7980895,539479090,2.981311787,12.709816628,39069.27986859186,16093.148959254433
MEA,SYR,Syrian Arab Republic,892517475.6808342,514273213,1406790688.680834,1890446995.6808343,483656307,0.4743712379999999,1.393469754,4108.526207902671,4592.392844211768
MEA,YEM,"Yemen, Rep.",1369690670.5005805,604977823,1974668493.5005803,2610051133.5005803,635382640,0.157134948,0.4966096460000001,2459.9920205463463,909.5880435523596
NAM,CAN,Canada,1329227435.998033,968615202,2297842637.998033,3825094180.9980316,1527251543,16.707796783,16.297072557000003,43172.48858334561,35427.39999241777
NAM,USA,United States,11496583104.0375,8778135978,20274719082.037495,36688705972.0375,16413986890,243.923294055,168.016940336,51693.52663677774,43445.83103825326
PAO,AUS,Australia,964682017.8331103,618023271,1582705288.8331106,2485512577.833111,902807289,7.190636693,10.918050208,43931.48030221988,38814.97464590756
PAO,JPN,Japan,3641364732.423434,3821864397,7463229129.423433,16612988913.42343,9149759784,27.655774752000006,36.923414597000004,37667.15431164995,37687.00235452238
