Model,Scenario,Region,Variable,Unit,2015,2019,2020,2030,2040,2045,2050,2053,2060,2070,2080,2090,2100
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R8AFRIMEST,Emissions|CO2|AFOLU,Mt CO2/yr,1540.128921368003,1496.4656730660845,1486.882156682473,1401.3395221850083,745.0887990047171,596.2808790435772,447.47295908243734,349.3275728590046,120.32167167099476,-298.10528751565425,-579.2436860801718,-803.4014319631766,-803.0419926533159
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R8AFRIMEST,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,3567.0059044588324,3822.01248925485,3882.8026105566246,5316.389292130907,6586.440342083411,7134.479921072946,7682.519500062481,8103.8043270784965,9086.80225678253,10836.666917392118,13823.706434387934,17266.00541641906,20260.50361960827
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R8AFRIMEST,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,7316.389914395306,7732.722448721235,7797.107441617256,9219.031964472537,9538.270907269272,9758.464359722562,9978.65781217585,10305.236899488358,11067.254769884205,12366.22334670823,14921.694789442568,17831.743992936776,20680.98970884971
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R8AFRIMEST,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,7493.731595957171,7927.701297716789,7993.340352491128,9421.025346394545,9706.374856462942,9905.23426877775,10104.093681092556,10431.354670502293,11194.963645791675,12489.964573228699,15027.961285289506,17908.37050352934,20745.480673565617
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R8AFRIMEST,Emissions|Kyoto Gases (AR6-GWP100),Mt CO2-equiv/yr,7631.223713825119,8119.521431192364,8197.211607392643,9643.072233583709,9810.719224041739,10034.684803830245,10175.687143450114,10524.366143202127,11279.658043354393,12595.85700148847,15153.731873800058,18057.21544678373,20927.750308314455
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R8CHINASIA,Emissions|CO2,Mt CO2/yr,14309.930828880135,15454.90732470408,15617.50023501335,15067.970577494132,10835.022362962849,8564.88654489595,6294.750726829051,5117.280867965128,2369.851197282639,2523.035661176649,2757.2078348183913,2980.3092364133536,3190.5624950383917
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R8CHINASIA,Emissions|CO2|AFOLU,Mt CO2/yr,649.424099604288,516.4056115468336,521.6274613642656,295.0917849493453,-95.37126382704952,-167.63122941192628,-239.89119499680305,-344.72983141286966,-589.3533163836917,-642.6928370563537,-818.2504798303063,-1044.001346849154,-1229.537347847496
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R8CHINASIA,Emissions|CO2|Energy and Industrial Processes,Mt CO2/yr,13660.506729275847,14938.501713157246,15095.872773649086,14772.878792544787,10930.393626789899,8732.517774307877,6534.641921825854,5462.010699377997,2959.2045136663305,3165.7284982330025,3575.4583146486975,4024.3105832625074,4420.0998428858875
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R8CHINASIA,Emissions|Kyoto Gases (AR4-GWP100),Mt CO2-equiv/yr,17585.479283344222,18789.35041557356,18980.889201594706,18044.618164787826,13102.5436407022,10551.935806151929,8001.327971601656,6713.210201835885,3707.6020723824195,3806.1362000425192,3954.9179695188313,4084.0643782177203,4095.67134894118
Current policies,Max|Harmonized|KyotoFromPrice_incrate2_MESSAGEix-GLOBIOM_1.1_EN_NPi|nz_CO2_only|cert_allconf_0.1,R8CHINASIA,Emissions|Kyoto Gases (AR5-GWP100),Mt CO2-equiv/yr,17824.337134753026,19038.53325189804,19230.945393575068,18234.525561810573,13214.203692265817,10641.176713954746,8068.149735643677,6772.828937258165,3750.4137410253043,3846.512189675905,3988.9508930233665,4112.443040854439,4110.674033742222
